# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:03:00 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
24.8744 1.4051e+04 1.1890e+04 1.6627e+04 1.1942e+04 1.6513e+04 1.3580e+04 1.4810e+04 1.6093e+04 1.2416e+04 1.4516e+04 1.1942e+04 1.6513e+04 1.3449e+04
25.1256 1.3362e+04 1.1315e+04 1.5795e+04 1.1364e+04 1.5687e+04 1.2917e+04 1.4080e+04 1.5296e+04 1.1807e+04 1.3796e+04 1.1364e+04 1.5687e+04 1.2800e+04
25.3769 1.2711e+04 1.0773e+04 1.5012e+04 1.0819e+04 1.4910e+04 1.2291e+04 1.3392e+04 1.4546e+04 1.1234e+04 1.3118e+04 1.0819e+04 1.4910e+04 1.2187e+04
25.6281 1.2098e+04 1.0261e+04 1.4275e+04 1.0304e+04 1.4177e+04 1.1700e+04 1.2743e+04 1.3838e+04 1.0692e+04 1.2479e+04 1.0304e+04 1.4177e+04 1.1608e+04
25.8794 1.1520e+04 9.7772e+03 1.3579e+04 9.8183e+03 1.3486e+04 1.1143e+04 1.2132e+04 1.3171e+04 1.0181e+04 1.1876e+04 9.8183e+03 1.3486e+04 1.1062e+04
26.1307 1.0973e+04 9.3200e+03 1.2923e+04 9.3589e+03 1.2834e+04 1.0617e+04 1.1554e+04 1.2541e+04 9.6991e+03 1.1307e+04 9.3589e+03 1.2834e+04 1.0545e+04
26.3819 1.0457e+04 8.8877e+03 1.2304e+04 8.9244e+03 1.2220e+04 1.0120e+04 1.1009e+04 1.1947e+04 9.2434e+03 1.0770e+04 8.9244e+03 1.2220e+04 1.0056e+04
26.6332 9.9696e+03 8.4788e+03 1.1720e+04 8.5135e+03 1.1639e+04 9.6496e+03 1.0493e+04 1.1385e+04 8.8127e+03 1.0263e+04 8.5135e+03 1.1639e+04 9.5941e+03
26.8844 9.5082e+03 8.0918e+03 1.1167e+04 8.1246e+03 1.1091e+04 9.2049e+03 1.0006e+04 1.0854e+04 8.4053e+03 9.7832e+03 8.1246e+03 1.1091e+04 9.1567e+03
27.1357 9.0717e+03 7.7253e+03 1.0646e+04 7.7564e+03 1.0573e+04 8.7839e+03 9.5451e+03 1.0352e+04 8.0198e+03 9.3298e+03 7.7564e+03 1.0573e+04 8.7425e+03
27.3869 8.6586e+03 7.3782e+03 1.0152e+04 7.4077e+03 1.0083e+04 8.3854e+03 9.1088e+03 9.8765e+03 7.6549e+03 8.9008e+03 7.4077e+03 1.0083e+04 8.3501e+03
